0	77918
0	91040
0	51642
0	52548
0	99689
77918	0
77918	5128
77918	46818
77918	56649
77918	90226
91040	0
91040	59680
91040	70823
51642	0
51642	20244
51642	79724
51642	98498
1	71082
1	27397
1	49820
1	8460
71082	1
71082	16973
71082	85436
27397	1
27397	9973
27397	1578
27397	48477
27397	56270
49820	1
49820	4871
49820	29476
2	68236
2	33943
2	11768
2	82300
2	93183
68236	2
68236	23258
68236	37621
33943	2
33943	6473
33943	16368
33943	35244
33943	85004
3	59939
3	78507
3	5744
3	75450
59939	3
59939	10915
59939	33427
59939	88544
78507	3
78507	6300
78507	51762
78507	74807
78507	82727
4	23282
4	27711
4	63089
4	56786
23282	4
23282	86216
23282	17475
23282	31697
23282	54206
23282	64526
27711	4
27711	9253
27711	49531
27711	70912
27711	83768
63089	4
63089	17843
63089	57477
63089	78194
63089	87644
63089	95765
5	21114
5	16241
5	1892
5	8591
21114	5
21114	54722
16241	5
16241	3561
16241	98390
16241	71846
16241	78817
6	12587
6	90410
6	17488
6	29848
6	38600
6	67174
6	73278
12587	6
12587	4538
90410	6
90410	48743
7	19108
7	17105
19108	7
19108	12279
19108	20888
19108	56996
17105	7
17105	11682
17105	64258
8	24055
8	52891
8	82209
8	33648
8	35370
24055	8
24055	7991
24055	87960
24055	45366
52891	8
52891	39024
52891	74939
82209	8
82209	28861
82209	31524
9	74667
9	85350
9	48738
9	15749
9	40424
9	62884
9	92595
9	95947
74667	9
74667	66793
74667	49105
85350	9
85350	58874
85350	80812
48738	9
48738	37632
48738	75765
10	85140
10	74763
10	86772
10	7578
10	12254
10	28599
10	35607
10	78921
10	84569
10	94112
85140	10
85140	8995
85140	38719
74763	10
74763	52216
74763	91064
74763	97607
86772	10
86772	36584
86772	73239
11	84273
11	91257
11	2067
11	13301
84273	11
84273	51071
91257	11
91257	68893
91257	94464
91257	98607
12	51921
12	28421
12	23438
51921	12
51921	52032
51921	20213
28421	12
28421	21976
28421	75397
13	61029
13	35848
13	73268
61029	13
61029	89989
61029	54362
35848	13
35848	31301
35848	39336
35848	41559
35848	62389
73268	13
73268	49287
73268	52919
14	19492
14	5622
19492	14
19492	66999
19492	31659
19492	43968
19492	50239
5622	14
5622	28470
5622	87130
5622	21320
5622	61174
15	78162
15	70944
15	812
15	29062
15	34951
78162	15
78162	45479
78162	53346
70944	15
70944	14360
70944	61168
812	15
812	16177
812	41483
16	87212
16	81616
16	98185
87212	16
87212	26686
81616	16
81616	25813
81616	44631
81616	70491
17	29372
17	99837
17	26348
17	38253
29372	17
29372	70312
29372	32230
99837	17
99837	19342
18	65741
18	41301
18	37661
18	18434
18	27619
65741	18
65741	13084
41301	18
41301	2992
41301	5113
41301	41749
37661	18
37661	47573
37661	76400
19	82695
19	96348
19	4312
19	4877
19	31622
19	49667
82695	19
82695	1331
82695	18918
82695	22844
96348	19
96348	3572
4312	19
4312	79576
4312	13171
4312	29428
4312	36047
4312	39806
4312	83409
20	18942
20	74002
20	3165
20	23863
20	38673
20	46233
20	89786
18942	20
18942	90471
18942	44311
18942	29815
18942	40369
18942	66142
74002	20
74002	2641
74002	21477
3165	20
3165	37183
21	40914
21	97333
40914	21
40914	38428
40914	56127
97333	21
97333	19402
97333	67813
97333	77503
22	16616
22	23357
16616	22
16616	467
16616	52700
23357	22
23357	74175
23357	54968
23	1933
23	84000
23	14755
1933	23
1933	490
1933	931
1933	13040
1933	48766
1933	57527
84000	23
84000	70637
14755	23
14755	52457
14755	51558
14755	48774
14755	76268
24	52043
24	91244
24	62681
52043	24
52043	14086
91244	24
91244	25464
91244	65960
62681	24
62681	82148
62681	92122
25	82202
25	27452
25	32497
25	65510
82202	25
82202	95
82202	16138
82202	16691
27452	25
27452	93608
27452	40459
26	72510
26	59585
26	17108
26	36609
72510	26
72510	5288
72510	47403
72510	52816
72510	70738
59585	26
59585	5774
59585	23763
27	44441
27	40354
27	8045
44441	27
44441	10800
44441	11609
44441	65707
40354	27
40354	10911
40354	92437
28	90489
28	35562
28	72173
90489	28
90489	49091
90489	73612
35562	28
35562	24651
29	32153
29	37165
29	51062
29	9642
29	41460
29	48711
32153	29
32153	17600
32153	41707
37165	29
37165	9390
37165	60064
37165	62055
51062	29
51062	18679
51062	23406
51062	76334
51062	80842
30	63761
30	59825
30	81182
30	10134
30	90844
63761	30
63761	74639
63761	44472
63761	80659
59825	30
59825	22352
81182	30
81182	17894
81182	36369
31	71236
31	32466
31	57328
71236	31
71236	54582
32466	31
32466	448
32466	96435
32466	86311
32	50444
32	4909
32	49815
32	4647
32	12699
50444	32
50444	63994
50444	70672
4909	32
4909	1613
4909	73414
4909	37213
4909	88354
49815	32
49815	1253
33	67632
33	74010
33	73251
33	5680
33	14949
33	24775
67632	33
67632	19425
67632	29869
74010	33
74010	49481
73251	33
73251	80643
34	60964
34	93624
34	2210
34	6013
34	48735
60964	34
60964	8421
60964	67556
60964	67206
60964	89452
93624	34
93624	343
93624	83712
35	55175
35	96902
35	48786
35	50593
55175	35
55175	45934
96902	35
96902	33987
96902	34725
36	72977
36	43896
72977	36
72977	74247
72977	22323
43896	36
43896	79128
43896	7864
43896	55673
37	19039
37	19411
37	45940
19039	37
19039	7132
19039	13384
19411	37
19411	81632
19411	25829
19411	57325
38	44454
38	72101
38	10100
44454	38
44454	13342
44454	72926
44454	80302
72101	38
72101	26278
72101	37435
10100	38
10100	48291
39	61322
39	403
39	3558
61322	39
61322	35798
61322	58200
403	39
403	32628
403	49967
40	22143
40	78332
40	46693
40	16200
22143	40
22143	8187
22143	76319
22143	26637
22143	66754
78332	40
78332	11308
78332	82485
46693	40
46693	21463
41	45655
41	96324
41	74932
41	8369
41	49870
45655	41
45655	6712
45655	65082
96324	41
96324	5801
96324	38732
74932	41
74932	19114
42	33348
42	2549
42	8827
42	48997
33348	42
33348	57908
33348	36675
33348	70429
33348	99015
2549	42
2549	2445
2549	15342
2549	15413
2549	23882
43	38694
43	97391
43	7081
43	33966
43	28225
43	87749
43	99050
38694	43
38694	82794
38694	50904
38694	85208
97391	43
97391	348
97391	75838
7081	43
7081	95424
7081	29196
7081	75046
7081	88877
33966	43
33966	9288
33966	26758
33966	33473
44	29401
44	67087
44	72411
29401	44
29401	71481
29401	49825
67087	44
67087	8522
67087	24241
72411	44
72411	52721
72411	8937
72411	99036
45	4978
45	93569
45	71257
45	63360
4978	45
4978	2778
4978	99140
4978	20891
4978	33494
4978	81301
93569	45
93569	91504
93569	58373
71257	45
71257	10348
71257	13526
71257	27137
46	99059
46	48949
46	28387
46	31464
46	99772
99059	46
99059	35238
99059	69188
99059	69949
48949	46
48949	7947
47	29891
47	50960
47	32336
47	65302
29891	47
29891	15482
29891	21572
29891	41348
50960	47
50960	15867
50960	53524
50960	52824
50960	56108
50960	57481
50960	62311
48	47392
48	47114
47392	48
47392	83901
47392	76479
47114	48
47114	65259
47114	27259
49	71745
49	2785
49	78671
71745	49
71745	68444
71745	75211
2785	49
2785	86964
2785	59221
2785	62079
50	85573
50	87286
50	7636
50	7491
50	48951
85573	50
85573	37591
87286	50
87286	21316
87286	58909
87286	97241
7636	50
7636	45390
7636	95352
51	29100
51	83365
51	11017
51	66895
29100	51
29100	24457
29100	32900
29100	83373
83365	51
83365	24906
11017	51
11017	25500
52	7676
52	27659
7676	52
7676	13403
7676	10107
7676	11870
27659	52
27659	24571
27659	63197
27659	42864
53	27378
53	38056
53	71812
53	92034
27378	53
27378	12445
38056	53
38056	2983
38056	5306
38056	43449
38056	64388
71812	53
71812	7291
71812	58871
54	22786
54	61151
54	50021
54	360
22786	54
22786	7265
22786	33068
22786	53824
61151	54
61151	4582
61151	13738
61151	81219
50021	54
50021	46377
50021	94384
55	69597
55	59326
55	29519
69597	55
69597	20155
69597	26557
59326	55
59326	25911
59326	61077
29519	55
29519	98405
29519	92112
56	18827
56	52624
56	9940
56	45404
18827	56
18827	63271
52624	56
52624	48558
9940	56
9940	82398
9940	81980
9940	81055
9940	82571
57	74205
57	28804
57	11225
57	22701
57	44408
74205	57
74205	47100
74205	52953
28804	57
28804	15606
28804	16843
28804	39690
28804	48206
28804	87164
28804	93369
58	17828
58	70349
58	23589
58	40057
58	54171
17828	58
17828	6663
17828	39448
17828	44379
17828	49055
17828	61412
17828	82411
70349	58
70349	96750
70349	94076
